iter	Logloss
0	0.6181575797
1	0.5771213587
2	0.5327704904
3	0.5081602772
4	0.4772524489
5	0.4535446377
6	0.4365090125
7	0.4234905528
8	0.408822062
9	0.3985260116
10	0.3947150129
11	0.3867554321
12	0.3844416577
13	0.3773043432
14	0.3721121942
15	0.3678897065
16	0.3630007473
17	0.3570027393
18	0.3527114184
19	0.3488559867
20	0.3468845403
21	0.3445974128
22	0.3418920979
23	0.3407310074
24	0.3384438728
25	0.3358624075
26	0.3341913425
27	0.3327321716
28	0.3320551328
29	0.3315443937
30	0.329669113
31	0.3290598153
32	0.3288762879
33	0.3284854715
34	0.3273487091
35	0.3270521449
36	0.326246607
37	0.3240008019
38	0.3236523146
39	0.3235216294
40	0.3235178934
41	0.3224985036
42	0.3221561149
43	0.3214471257
44	0.3211629643
45	0.3202142928
46	0.3200359597
47	0.3197430899
48	0.3186871469
49	0.3181556593
50	0.3179982335
51	0.3178905419
52	0.3174156792
53	0.3168487737
54	0.3164629559
55	0.3159207293
56	0.3151172052
57	0.314626159
58	0.3142976261
59	0.3140158804
60	0.3136675001
61	0.3134956638
62	0.3133059312
63	0.3130210404
64	0.3126554234
65	0.3123487012
66	0.3110285053
67	0.3093883807
68	0.3089093786
69	0.3085110153
70	0.3080960973
71	0.3078878749
72	0.3077354875
73	0.3073640133
74	0.3062168719
75	0.3058176968
76	0.3055336174
77	0.3051910871
78	0.3050488117
79	0.3048703807
80	0.3046786338
81	0.3041460953
82	0.3039667342
83	0.3035519009
84	0.3034808163
85	0.3030119926
86	0.302736407
87	0.3022384696
88	0.3016706972
89	0.301032077
90	0.3008754693
91	0.299286664
92	0.2987907846
93	0.2986487701
94	0.2981935123
95	0.2975115142
96	0.2957144102
97	0.2953032646
98	0.2950367031
99	0.2948860536
100	0.294504928
101	0.2938579005
102	0.2924537894
103	0.2917817863
104	0.2910397687
105	0.2907113218
106	0.2902799802
107	0.2901899174
108	0.2897820601
109	0.2893442997
110	0.2886172971
111	0.2884252529
112	0.2874678053
113	0.2870444932
114	0.2860962852
115	0.2859495982
116	0.2856341672
117	0.2845532545
118	0.2839012469
119	0.283590489
120	0.2827123433
121	0.2824067082
122	0.2820563853
123	0.2814273569
124	0.2809877917
125	0.2804137664
126	0.2800060325
127	0.2789781103
128	0.2789246391
129	0.2787664079
130	0.2781105983
131	0.2776676452
132	0.2773800132
133	0.2768094435
134	0.2767431368
135	0.2763822145
136	0.2760054158
137	0.2758006752
138	0.2755066648
139	0.2750850465
140	0.2748411214
141	0.2745377237
142	0.2738085915
143	0.2732537465
144	0.2729990396
145	0.2728761701
146	0.2725489336
147	0.2724688348
148	0.2719900097
149	0.2718649103
150	0.271222333
151	0.2710034759
152	0.2705909472
153	0.270512317
154	0.270058168
155	0.269806038
156	0.2696886518
157	0.2696589272
158	0.2693141801
159	0.2690306931
160	0.26869681
161	0.2685962589
162	0.2683710872
163	0.267962533
164	0.2678796302
165	0.2677317075
166	0.2673726345
167	0.267058221
168	0.2660267329
169	0.2656924544
170	0.2654159737
171	0.2653559228
172	0.2651171913
173	0.2648796143
174	0.2647303338
175	0.2641823654
176	0.263784605
177	0.2635718079
178	0.2634479301
179	0.2633229684
180	0.2631351082
181	0.2630153034
182	0.2627677452
183	0.262405657
184	0.2621527053
185	0.2620155577
186	0.2616946257
187	0.2613714225
188	0.261220555
189	0.2611582062
190	0.2610770571
191	0.2606773964
192	0.2606323065
193	0.2604022365
194	0.2602371674
195	0.259564544
196	0.2592666366
197	0.2592234934
198	0.2591103627
199	0.2590453385
200	0.2588836803
201	0.258031065
202	0.2578820418
203	0.2576596456
204	0.2569919299
205	0.256778826
206	0.2563239908
207	0.2558439649
208	0.2554529471
209	0.2551480515
210	0.2549344544
211	0.2548757033
212	0.2545770997
213	0.2543327815
214	0.2540362223
215	0.2538223243
216	0.2532475744
217	0.2528391789
218	0.2527939876
219	0.2522074714
220	0.2521003328
221	0.2520231722
222	0.2515848396
223	0.2513148361
224	0.2510722439
225	0.2508177718
226	0.2505358269
227	0.2504884974
228	0.2502371869
229	0.249936411
230	0.2495863427
231	0.2495252977
232	0.2494069298
233	0.2491734131
234	0.2489539381
235	0.248684961
236	0.2482241353
237	0.2480230387
238	0.2478691242
239	0.247282415
240	0.2472507704
241	0.2470995592
242	0.2467775671
243	0.2465232056
244	0.246359626
245	0.2462209644
246	0.2457438122
247	0.2452954473
248	0.2450157961
249	0.2448527685
250	0.2446711662
251	0.2443817071
252	0.2441413064
253	0.244033268
254	0.2438872811
255	0.2436576787
256	0.2434459304
257	0.2431662863
258	0.2429398762
259	0.242781749
260	0.2425145932
261	0.2421117851
262	0.2419848292
263	0.2418622114
264	0.2416832298
265	0.2413082348
266	0.2411229217
267	0.2408274135
268	0.2401854137
269	0.2401026656
270	0.2398150729
271	0.2396980636
272	0.2395749547
273	0.2394565971
274	0.2393704728
275	0.2389452437
276	0.2386625354
277	0.2384531698
278	0.2380484659
279	0.2378774697
280	0.2378039268
281	0.2376939684
282	0.2374159399
283	0.2373749547
284	0.23703458
285	0.2368072285
286	0.2365506243
287	0.2363015253
288	0.2360427108
289	0.2356257773
290	0.2354581632
291	0.2353661341
292	0.2352357012
293	0.2346935883
294	0.2344008698
295	0.2342116262
296	0.2340932089
297	0.2336215881
298	0.2334881448
299	0.2332068155
300	0.2330456132
301	0.2326802865
302	0.2322753783
303	0.2319786585
304	0.2316059952
305	0.2315007545
306	0.2314334485
307	0.2311617859
308	0.2310030571
309	0.2307250652
310	0.2305740325
311	0.2300690856
312	0.2300031578
313	0.2298280624
314	0.2294491183
315	0.2293706461
316	0.2291811724
317	0.2291256494
318	0.2290806181
319	0.2288898208
320	0.2287027189
321	0.2285374336
322	0.2283512129
323	0.2282363558
324	0.2281272299
325	0.2278942316
326	0.2276811325
327	0.2274811643
328	0.227353032
329	0.2271661428
330	0.2269747242
331	0.2264441877
332	0.2263916034
333	0.2260971404
334	0.2256402381
335	0.225313683
336	0.2251993628
337	0.2250963084
338	0.2248304329
339	0.224620744
340	0.224234414
341	0.2239580789
342	0.2238049555
343	0.2234214531
344	0.2232359668
345	0.2231157431
346	0.2228284169
347	0.2227516002
348	0.2226284946
349	0.2223343845
350	0.2221790663
351	0.2219995911
352	0.2218965351
353	0.2217551606
354	0.2216032488
355	0.2213201071
356	0.2211835465
357	0.2207287898
358	0.2204761996
359	0.2201726178
360	0.2199496008
361	0.2194690041
362	0.2190959932
363	0.2187177787
364	0.2185623192
365	0.2184779257
366	0.2184189307
367	0.2183753612
368	0.218289097
369	0.2182669085
370	0.217814555
371	0.2177925071
372	0.2176507538
373	0.2175110573
374	0.2170953753
375	0.2170344674
376	0.2166479235
377	0.2163149942
378	0.2161126578
379	0.2157452744
380	0.2154035759
381	0.2149945124
382	0.2146366051
383	0.2145906255
384	0.2144254138
385	0.2139294474
386	0.2136698893
387	0.2135023578
388	0.2130491599
389	0.2128536216
390	0.2125338802
391	0.2121397465
392	0.2120697621
393	0.2117733371
394	0.2115726763
395	0.2115019664
396	0.2108795877
397	0.2108047362
398	0.2106321173
399	0.2103936559
400	0.2102403094
401	0.2096118981
402	0.2093940239
403	0.2091101803
404	0.2088059965
405	0.2085194082
406	0.2082224428
407	0.2078347863
408	0.2075258406
409	0.207336813
410	0.2072233388
411	0.2070548311
412	0.2069606171
413	0.2067642868
414	0.2064487174
415	0.2061300653
416	0.2060186431
417	0.205882103
418	0.2057783541
419	0.2057205891
420	0.2055559676
421	0.2053222027
422	0.2050648184
423	0.2046647905
424	0.2043727422
425	0.2039889095
426	0.2039253652
427	0.2037790589
428	0.2037158473
429	0.2036563979
430	0.203550735
431	0.2032902543
432	0.2029203845
433	0.2027917942
434	0.2026889002
435	0.2023997858
436	0.2022283821
437	0.2021189081
438	0.2019858725
439	0.2017961443
440	0.2017040077
441	0.2016651247
442	0.2013877501
443	0.2011533479
444	0.2009387337
445	0.2006662431
446	0.20058761
447	0.2005778479
448	0.2004200377
449	0.2002295754
